{:generation 0, :program (:string_occurencesof_char :integer_mult :string_reverse :string_from_char :string_parse_to_chars :string_length :string_replace_char :string_nth 1 :string_replace_char :string_rest :string_rest :exec_if (:string_butlast :boolean_or :string_contains_char :string_contains_char :string_remove_char :exec_dup (:integer_subtract "b" :string_butlast :string_indexof_char :integer_quot :string_occurencesof_char :in1 :string_drop :string_rest :string_nth :integer_mult 1 :string_reverse :string_occurencesof_char :string_iterate ("a" :string_take :integer_add "" :string_reverse :string_eq "b" :string_take :integer_eq :string_drop :string_concat :integer_subtract :string_indexof_char :boolean_or :integer_add) :string_reverse true :integer_mult 1 :string_drop true true :string_contains :boolean_not "b" :string_contains :string_concat :boolean_not :string_from_char :integer_add :string_from_char :boolean_eq :string_length :string_occurencesof_char :string_remove_char :string_butlast :string_butlast :boolean_and "abcdefghijklmnopqrstuvwxyz" :string_remove_char :integer_eq true :boolean_and :string_from_char :boolean_eq :string_nth "" :integer_quot "a" :string_contains_char :string_nth :string_replace_char :string_indexof_char "a" :string_nth)) ()), :runtime (0.003261468 0.0033213839999999967 0.003197548000000001 0.0032047200000000003 0.003187452000000001 0.0031833480000000008 0.003166432), :total-error 2, :amalgamated-error 2.022522352}
{:generation 1, :program (:string_butlast :exec_dup (:in1 :string_contains :integer_quot :string_iterate (:boolean_eq true "a" :integer_subtract :in1 true :boolean_and :string_rest :string_eq :string_occurencesof_char :boolean_eq :boolean_or) :string_nth :string_drop :string_from_char :string_eq :string_butlast :string_butlast :string_iterate (false :string_length :string_take :string_contains_char :string_from_char :string_contains 0 :string_rest :string_length :string_from_char :boolean_not :integer_eq :string_reverse true :string_concat :integer_add :string_rest :string_remove_char 0 "a" :exec_if (:integer_add "" :string_remove_char :exec_if (:string_contains :string_contains :string_from_char :string_nth :string_from_char 0 false :boolean_not) (0 :string_remove_char true)) ()))), :runtime (0.0031902999999999983 0.003226500000000001 0.003200724000000002 0.003243448000000002 0.0032503279999999976 0.04536714399999995 0.003238628000000002), :total-error 1, :amalgamated-error 1.0647170719999999}
{:generation 2, :program (:string_occurencesof_char :boolean_or :integer_mult :in1 :in1 :string_reverse :string_from_char :string_parse_to_chars :string_length :string_replace_char :string_iterate (1 :string_replace_char :string_rest :string_rest :exec_if (:boolean_or :string_contains_char :exec_dup (:string_contains_char :string_remove_char :string_remove_char :exec_dup ("b" :integer_quot :string_occurencesof_char :integer_quot :in1 :string_drop :string_rest :string_nth :integer_subtract :integer_mult 1 :string_reverse :string_occurencesof_char :integer_mult :string_iterate (:string_from_char "a" :string_take :integer_add "" :string_reverse :string_eq :string_take :string_drop :string_concat 1 :integer_subtract :integer_add) :string_reverse true :integer_mult :string_drop true :boolean_not "b" :string_contains :boolean_not :string_from_char :string_contains_char :integer_add :string_from_char :boolean_eq :string_length :string_nth :string_occurencesof_char :integer_eq :string_remove_char :string_butlast :string_butlast :string_nth :boolean_and "abcdefghijklmnopqrstuvwxyz" :string_drop :integer_eq true :string_from_char :exec_if (:boolean_eq :string_nth "" "a" :string_contains_char :string_nth :string_replace_char :string_indexof_char) ()))) ())), :runtime (0.003209143999999999 0.003224124000000002 0.003158092 0.0032262120000000004 0.05128517599999991 0.0031946999999999995 0.0031434960000000004), :total-error 1, :amalgamated-error 1.070440944}
{:generation 3, :program ("a" true :string_replace_char :string_contains :string_contains_char :string_drop :string_reverse :string_remove_char :string_indexof_char :boolean_and false true :string_eq :string_nth false :string_drop :string_occurencesof_char :string_eq false :in1 :string_iterate (:boolean_not :string_reverse "abcdefghijklmnopqrstuvwxyz" :integer_add :string_concat :boolean_and :string_parse_to_chars :string_contains :string_remove_char :string_concat :boolean_not :in1 :string_contains_char :string_from_char :string_nth false :string_parse_to_chars 1 :integer_mult :integer_quot :string_from_char :string_take :string_parse_to_chars :integer_mult true 0 "abcdefghijklmnopqrstuvwxyz" 1 :string_eq)), :runtime (0.0030933839999999994 0.001910751999999999 0.0018677560000000008 0.0019005399999999998 0.001847511999999999 0.0018908559999999998 0.001875035999999998), :total-error 1, :amalgamated-error 1.014385836}
{:generation 4, :program (:integer_quot :string_rest :string_contains_char :string_drop :string_remove_char :boolean_and :exec_dup (false true :in1 0 false :string_drop :integer_subtract :string_from_char :boolean_and :string_iterate (:in1 :boolean_eq :integer_subtract true :boolean_or false :string_from_char :integer_add :string_from_char :string_iterate (:string_from_char 1 :string_remove_char :string_take :string_concat :boolean_not :in1 :string_contains_char :string_rest) :boolean_eq :string_concat 1 :integer_mult :string_concat :string_occurencesof_char :string_from_char))), :runtime (0.003199051999999999 0.003097456000000001 0.0031908880000000002 0.0031237519999999987 0.0032061000000000012 0.0032014000000000005 0.0031686999999999983), :total-error 1, :amalgamated-error 1.022187348}
{:generation 5, :program (:integer_quot :exec_dup (:integer_eq :string_eq :boolean_and :in1 :integer_quot :string_concat :string_concat :integer_add :string_nth :boolean_not :string_butlast :integer_mult :string_contains_char :string_take :integer_mult :string_butlast :string_contains_char :integer_quot true :string_from_char :exec_dup (:in1 :string_parse_to_chars :string_concat :in1 :string_contains_char :boolean_not "b" true :string_length :boolean_and :string_occurencesof_char :exec_if (:integer_quot :boolean_not :boolean_not :integer_eq) (:string_contains :exec_if (:string_iterate (:string_eq :exec_if ("a" :string_contains :string_indexof_char 1 :boolean_not :integer_quot :string_eq :string_contains :integer_mult :exec_if (:in1 1 0 :exec_dup (:string_contains :string_contains_char :boolean_eq :string_nth)) ()) ())) ())))), :runtime (0.003239704 0.0030521160000000006 0.0031974599999999983 0.0031174640000000025 0.0031744560000000004 0.0032035640000000016 0.003116884), :total-error 1, :amalgamated-error 1.022101648}
{:generation 6, :program (:integer_quot :string_contains :string_drop :string_contains :string_take true :in1 :integer_add :integer_eq :string_from_char :integer_add true :string_iterate (:string_contains "abcdefghijklmnopqrstuvwxyz" :boolean_and :integer_subtract :boolean_or false :boolean_not :string_eq :integer_add :string_replace_char "b" :string_parse_to_chars :string_contains :string_concat :boolean_not :string_contains_char "b" :string_contains "a") :string_drop :integer_subtract :string_concat :in1 :integer_eq :exec_dup ("abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char 1 false false :integer_subtract :string_contains_char)), :runtime (0.0031948959999999987 0.0032581919999999996 0.003182459999999999 0.0032485840000000014 0.003099160000000002 0.0032389399999999996 0.002711256), :total-error 1, :amalgamated-error 1.021933488}
{:generation 7, :program ("abcdefghijklmnopqrstuvwxyz" :string_replace_char :boolean_or :boolean_eq :integer_subtract false 1 :integer_subtract :string_from_char :boolean_eq :boolean_eq :string_occurencesof_char :exec_dup ("abcdefghijklmnopqrstuvwxyz" :string_parse_to_chars :string_concat :string_iterate (:string_iterate ("a" :string_concat :boolean_eq :boolean_or :integer_mult :integer_subtract :string_nth :string_drop :string_rest :string_iterate (:string_remove_char "abcdefghijklmnopqrstuvwxyz" :boolean_not :string_drop :boolean_or 1 :boolean_and :integer_eq :string_occurencesof_char :in1 1) :string_rest :boolean_eq :string_remove_char :string_drop :boolean_or false :string_length :string_reverse false :in1) :boolean_and :exec_if (:string_butlast :string_reverse "a" 0 0) ()))), :runtime (0.003128488 0.003167711999999999 0.003135079999999998 0.0032831360000000003 0.0031867079999999973 0.003208687999999999 0.0019100719999999992), :total-error 1, :amalgamated-error 1.021019884}
{:generation 8, :program (:string_drop :string_from_char false :string_contains_char :string_drop :boolean_or :string_eq :in1 :string_eq :string_from_char "b" :string_concat :string_indexof_char 1 :string_take :string_remove_char :exec_dup (:string_reverse :in1 :string_iterate (:string_contains_char :string_concat :in1 :string_drop :string_butlast :string_indexof_char :boolean_and 0 :string_eq))), :runtime (0.003152820000000001 0.0031611880000000036 0.0032299 0.002333872000000001 0.0032175680000000005 0.003195543999999997 0.003112404), :total-error 1, :amalgamated-error 1.021403296}
{:generation 9, :program (:string_indexof_char :string_from_char :string_indexof_char :in1 :string_replace_char :string_iterate (:string_eq :exec_if (:string_eq :string_from_char 1 true :string_occurencesof_char :string_contains :string_concat) (:string_indexof_char :string_nth :string_butlast "b" true :string_nth :in1 :string_take :string_contains_char false :boolean_eq "a" :string_contains "abcdefghijklmnopqrstuvwxyz" :integer_mult :string_butlast "b" :string_replace_char "b" :integer_eq :boolean_and :in1 false :string_from_char 1 :string_contains_char))), :runtime (0.0033130719999999985 0.003193528000000001 0.00324034 0.003213016 0.0032286240000000003 0.0031706679999999998 0.003220987999999997), :total-error 0, :amalgamated-error 0.022580235999999993}
{:generation 10, :program (:integer_eq :exec_dup (:string_contains :string_eq :in1 :string_butlast 1 :string_eq :integer_eq :string_concat :string_reverse :boolean_or :string_iterate (:string_take 0 :integer_subtract :string_nth :integer_subtract "abcdefghijklmnopqrstuvwxyz" :boolean_not :string_contains_char "" :boolean_and :exec_dup (:boolean_and :string_replace_char :string_indexof_char :string_eq :string_occurencesof_char :string_rest :string_parse_to_chars :boolean_and :integer_subtract :integer_mult :string_indexof_char :integer_add :string_occurencesof_char)))), :runtime (0.002608592000000002 0.0031191199999999987 0.0018316960000000011 0.001878892 0.0019221160000000002 0.0018301999999999993 0.0018406200000000003), :total-error 1, :amalgamated-error 1.015031236}
