{:generation 0, :program (:in1 :string_drop :string_rest :integer_add true :string_remove_char :boolean_not "abcdefghijklmnopqrstuvwxyz" :string_parse_to_chars :string_indexof_char), :runtime (0.002979896000000001 0.002997264 0.0031052200000000005 0.003109004 0.003064412), :total-error 2, :amalgamated-error 2.015255796}
{:generation 1, :program (:boolean_and :in2 1 :exec_if (:string_occurencesof_char false :string_from_char :string_from_char :string_reverse :string_take) (:string_eq :string_from_char :string_drop :boolean_not :string_parse_to_chars :string_eq :string_rest :boolean_not :string_from_char :boolean_or :exec_dup (:integer_quot :string_take :string_reverse :string_nth :string_nth :string_take "" :integer_eq :boolean_eq :string_eq :string_from_char :string_indexof_char :integer_subtract :boolean_or :string_concat :string_iterate (:integer_add :integer_mult :string_occurencesof_char false true :string_from_char :string_remove_char :string_parse_to_chars :string_iterate ("abcdefghijklmnopqrstuvwxyz" :string_nth :string_from_char :string_contains :in2 :string_indexof_char :string_parse_to_chars 2 false :exec_if (:string_nth :string_reverse :boolean_eq :string_concat :string_drop :string_concat :string_nth "abcdefghijklmnopqrstuvwxyz") ()))))), :runtime (0.0030402639999999996 0.003040900000000001 0.003043936 0.0029669599999999994 0.003032616000000001), :total-error 1, :amalgamated-error 1.015124676}
{:generation 2, :program (:string_from_char :in2 :boolean_not :string_contains_char :string_contains :boolean_or :string_length :integer_quot 2 :string_remove_char :string_contains :string_indexof_char :string_parse_to_chars :boolean_eq :integer_mult :string_nth :string_reverse :string_occurencesof_char :boolean_and true :integer_mult :string_remove_char :integer_mult :integer_quot :string_length 0 :integer_mult :string_contains :string_butlast :string_contains_char :string_contains_char :string_occurencesof_char :integer_subtract 0 :integer_mult :boolean_or :boolean_and :integer_mult :string_reverse :string_replace_char :boolean_not :string_contains :string_indexof_char :string_drop 2 :string_drop :integer_mult :string_parse_to_chars false :integer_quot :string_from_char :boolean_eq :integer_subtract :string_take :string_from_char :string_rest "abcdefghijklmnopqrstuvwxyz" :boolean_and :string_replace_char :string_contains "" :boolean_or 0 :in2 :string_replace_char :boolean_not "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_take :string_eq 0 :exec_dup (:string_rest :string_iterate (:string_reverse :string_concat true :string_length :string_concat :string_replace_char :string_contains_char :string_replace_char :boolean_and :string_contains :integer_add :string_parse_to_chars :integer_add :string_remove_char 1 :exec_dup ("" :boolean_and :in2 2 :string_drop))))), :runtime (0.003115307999999999 0.0029538359999999983 0.0029453360000000002 0.05123240400000001 0.003113263999999998), :total-error 1, :amalgamated-error 1.0633601480000001}
{:generation 3, :program (:string_butlast true 0 :exec_dup (:string_contains :integer_add :string_concat :exec_if (:exec_if (:string_length "abcdefghijklmnopqrstuvwxyz" :string_concat :boolean_eq :string_nth :in1 :string_replace_char :string_contains_char 0 :string_nth :string_butlast 1 :boolean_or :boolean_eq "" :integer_quot :string_replace_char :string_length) (:string_butlast "abcdefghijklmnopqrstuvwxyz" :string_eq :string_eq :string_take :string_contains "" :string_contains_char :string_replace_char :integer_subtract :string_take true "abcdefghijklmnopqrstuvwxyz" 0 :string_concat "abcdefghijklmnopqrstuvwxyz" :integer_mult :integer_subtract :string_concat :string_contains_char :string_parse_to_chars false :integer_eq :string_butlast :integer_subtract :integer_eq :in2 :in2 :string_parse_to_chars :string_rest "abcdefghijklmnopqrstuvwxyz" :string_concat :string_from_char 2 :exec_if ("abcdefghijklmnopqrstuvwxyz" :string_take false :string_drop :string_parse_to_chars 1 :in1) ())) ())), :runtime (0.003031036000000002 0.0030817480000000005 0.0030471960000000007 0.0030157519999999987 0.0030980080000000006), :total-error 1, :amalgamated-error 1.01527374}
{:generation 4, :program (:string_length :string_butlast :string_reverse :exec_if (:string_nth :integer_subtract false :string_nth :boolean_and :string_reverse :in2 false :integer_mult :boolean_eq :string_reverse :string_eq) (1 :string_iterate (true "abcdefghijklmnopqrstuvwxyz" :integer_mult :string_indexof_char) :string_replace_char :string_occurencesof_char "" :boolean_not :boolean_not :exec_if (:string_drop false :string_contains_char :string_remove_char :string_drop 2 :string_from_char :string_nth :boolean_or :integer_mult :exec_dup (1 :string_reverse :in1 :string_replace_char :string_butlast :in2 :string_contains :boolean_and :string_reverse :exec_dup (:string_butlast :string_iterate (:exec_dup (:string_nth :string_eq :string_contains :boolean_eq :string_nth :string_eq :integer_quot :boolean_or :string_contains :integer_mult false))))) ())), :runtime (0.0030509719999999995 0.0030094959999999995 0.0030599400000000006 0.0030333680000000016 0.003088668), :total-error 1, :amalgamated-error 1.015242444}
{:generation 5, :program (:boolean_or :string_replace_char :string_drop :string_nth :boolean_not :exec_if (:string_concat :string_contains :in2 :string_parse_to_chars :string_iterate (false 2 :string_parse_to_chars :boolean_not :integer_add :string_contains :string_indexof_char :exec_dup (:integer_quot :integer_eq :integer_subtract :exec_dup (:string_contains :boolean_eq :boolean_and :string_drop :string_parse_to_chars :string_drop :string_remove_char :string_contains :string_from_char :string_eq :string_drop 0)))) ()), :runtime (0.003127327999999999 0.0030057919999999985 0.0030722040000000003 0.0028232479999999996 0.0017776159999999992), :total-error 1, :amalgamated-error 1.013806188}
{:generation 6, :program (:string_reverse 0 true "" :string_butlast :in2 :string_rest :string_parse_to_chars :exec_if (:integer_quot 1 true false :string_contains :exec_if ("" :string_concat :string_drop "abcdefghijklmnopqrstuvwxyz" :integer_subtract 2 :boolean_or 1 :string_butlast :string_contains_char :string_parse_to_chars "" :string_iterate ("" false :string_contains_char :integer_add :string_concat :string_eq "" 2 :string_nth :integer_subtract :in2 :string_iterate (true 1 :boolean_or :string_drop :string_length :string_rest :boolean_and :string_reverse :boolean_and :string_length :integer_subtract :integer_subtract :string_parse_to_chars :string_take :boolean_eq :string_remove_char true :string_contains :exec_dup (:string_replace_char :string_nth 2 :string_take)))) ()) ()), :runtime (0.0030928640000000003 0.0029991720000000005 0.0030541039999999998 0.003063111999999999 0.0026296760000000035), :total-error 1, :amalgamated-error 1.014838928}
{:generation 7, :program (2 :string_indexof_char true :string_parse_to_chars :in2 :integer_mult :integer_subtract "" :string_butlast "" 2 2 "abcdefghijklmnopqrstuvwxyz" false :string_contains :boolean_not :string_concat :string_parse_to_chars :in2 :boolean_or true :string_butlast :string_eq "" true :string_occurencesof_char :string_from_char :string_drop :in2 1 :string_indexof_char :string_indexof_char :string_from_char :boolean_or :boolean_or :boolean_eq :string_indexof_char :exec_dup (1 :boolean_and :string_drop :string_indexof_char 2 :string_replace_char :integer_add :in2 :string_take :string_length :string_contains :string_contains :string_butlast :string_contains_char :boolean_or :string_butlast false :boolean_eq 1 :string_iterate (:string_remove_char true :integer_add :string_replace_char :string_replace_char :boolean_and :string_nth :string_remove_char :boolean_eq :string_indexof_char :boolean_not))), :runtime (0.0030356399999999987 0.003101496000000002 0.003023864 0.07205054800000006 0.0030733519999999997), :total-error 1, :amalgamated-error 1.0842849}
{:generation 8, :program (:string_rest :in2 :string_length :in2 :string_from_char :integer_mult :string_indexof_char :integer_quot false :string_parse_to_chars :string_contains :string_iterate (:string_take :integer_eq "abcdefghijklmnopqrstuvwxyz" :string_reverse :string_contains :string_contains :string_rest :integer_eq :string_remove_char :string_butlast :string_butlast "" :string_replace_char 0 :string_concat :string_iterate (false :boolean_or :string_contains :string_from_char :in2 :string_iterate (0 :in2 :string_iterate (0 :string_length :string_contains :boolean_eq :string_rest false :exec_dup (:string_replace_char 2 :string_indexof_char :string_length :string_rest :string_contains)))))), :runtime (0.003052800000000001 0.0031246799999999995 0.003013415999999999 0.001760476000000001 0.0018054119999999997), :total-error 1, :amalgamated-error 1.012756784}
{:generation 9, :program (:integer_subtract :boolean_or "abcdefghijklmnopqrstuvwxyz" :string_replace_char :string_drop :integer_add :boolean_not :exec_if (:string_concat :string_contains :string_eq :in2 :string_parse_to_chars 2 :string_contains :string_parse_to_chars :boolean_not :string_indexof_char :integer_quot :integer_subtract :string_rest :exec_dup (:string_contains :boolean_eq :boolean_eq :string_drop :string_parse_to_chars :string_drop :string_remove_char 1) :string_contains :string_from_char :string_eq :string_contains 0) ()), :runtime (0.0031347360000000012 0.0030573719999999987 0.002959184000000001 0.0030006879999999988 0.003012628000000003), :total-error 1, :amalgamated-error 1.015164608}
{:generation 10, :program (:boolean_or :string_butlast :string_replace_char :string_butlast :string_from_char true :string_butlast :integer_mult :integer_mult 2 2 :string_remove_char :string_rest true 1 :exec_dup (:exec_dup (:boolean_not :string_replace_char :string_iterate (:string_occurencesof_char :integer_eq :integer_add :integer_add :string_drop :in1 :string_butlast :string_concat :string_occurencesof_char :integer_quot :string_drop :string_remove_char "" :boolean_or 2 "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :string_eq false false :string_parse_to_chars :boolean_eq :string_concat :in2 :string_concat :string_indexof_char :string_remove_char :string_from_char :string_replace_char :boolean_and :integer_eq :boolean_not :integer_quot 1 :boolean_eq 1 1 :string_contains :in2 :string_iterate ())))), :runtime (0.003083420000000002 0.003080959999999999 0.0030563760000000017 0.032689284 0.036177556), :total-error 1, :amalgamated-error 1.078087596}
