{:generation 0, :program (:integer_mult :string_replace_char :exec_if (:boolean_not :string_contains :string_contains :boolean_and true :string_from_char :string_concat :integer_subtract "(" :string_eq true :string_take) (:string_replace_char :in1 :string_concat :string_remove_char :boolean_or :string_parse_to_chars :string_parse_to_chars "(" :boolean_eq :string_replace_char :string_rest :integer_quot :string_indexof_char :string_remove_char :string_contains :string_take :string_iterate (:integer_eq :boolean_and :string_occurencesof_char false :integer_quot :string_iterate (false :integer_subtract :string_remove_char :string_concat :integer_mult :string_drop :string_drop :exec_dup (:string_drop :exec_if (false :string_rest :integer_add 1 :in1) (:string_drop :integer_quot :string_reverse :string_reverse)))))), :runtime (0.0032428440000000017 0.003239211999999999 0.0031034320000000006 0.0019350280000000003 0.001873572 0.001903579999999999 0.0018570439999999989), :total-error 2, :amalgamated-error 2.017154712}
{:generation 1, :program (:string_contains :string_contains 0 :string_parse_to_chars :string_replace_char :string_reverse :string_iterate (:string_reverse :exec_dup ("(" 1 :string_contains false "(" :string_nth :integer_subtract :boolean_or :string_contains_char :string_contains ")" :string_butlast :string_concat :integer_quot :string_length :string_concat :in1 :string_iterate (:integer_mult :boolean_or false :string_iterate (true :boolean_eq :string_take :string_nth :string_iterate (:string_rest false :string_remove_char :string_replace_char :string_indexof_char)))))), :runtime (0.003274259999999998 0.0018961760000000003 0.001897804 0.001912343999999999 0.0018445920000000001 0.001822048000000002 0.001886483999999999), :total-error 1, :amalgamated-error 1.014533708}
{:generation 2, :program (:string_iterate (1 :boolean_eq :string_eq ")" false :string_contains :boolean_eq :string_indexof_char :string_remove_char :exec_dup (:boolean_eq :integer_add :string_contains :string_concat ")" :boolean_eq :string_length :string_contains :string_from_char :string_parse_to_chars :string_indexof_char) :string_remove_char :string_from_char :boolean_and :boolean_and :in1 true :string_from_char :integer_mult) :string_from_char :string_rest :integer_eq :boolean_and :string_eq), :runtime (0.0032196959999999985 0.0032945000000000027 0.0021992359999999985 0.0018992640000000003 0.001883516 0.0022434200000000007 0.00325354), :total-error 1, :amalgamated-error 1.017993172}
{:generation 3, :program (true :string_contains ")" :string_eq :string_length :string_reverse :string_rest true false :string_butlast :in1 :string_rest :integer_subtract :string_indexof_char :string_indexof_char :string_length :in1 :string_parse_to_chars :string_indexof_char :boolean_or :string_butlast :string_eq :string_remove_char :integer_add :string_contains :integer_quot :boolean_not "(" :exec_if () ("(" :string_drop :string_iterate (:string_eq :string_eq :integer_mult :integer_add :boolean_or :string_remove_char) :string_rest :integer_eq 0 :boolean_and :string_nth :integer_subtract false 0 :string_from_char "(" :string_take false false :string_concat :string_replace_char :integer_add :string_occurencesof_char :string_iterate (:string_contains :boolean_or :string_occurencesof_char :string_replace_char :string_butlast :string_indexof_char :string_contains :integer_add :string_remove_char true :string_contains :exec_if () ()))), :runtime (0.003199275999999999 0.003144444000000002 0.0032122719999999974 0.0031783039999999977 0.0032271279999999997 0.0031857520000000005 0.003227264000000002), :total-error 1, :amalgamated-error 1.02237444}
{:generation 4, :program (1 :string_iterate (1 :boolean_eq :string_eq ")" false :string_contains :boolean_eq :string_indexof_char :string_remove_char :exec_dup (:boolean_and :boolean_eq :integer_add :string_contains :string_concat ")" :boolean_eq :string_length :string_from_char :boolean_not :string_parse_to_chars) :string_remove_char :boolean_and :boolean_and :in1 :string_from_char :integer_mult :string_contains_char) :string_from_char :string_rest :integer_eq :boolean_and :string_eq), :runtime (0.003165219999999999 0.0032329760000000003 0.003198140000000001 0.0032253119999999997 0.003152704000000001 0.003183627999999998 0.003241156000000001), :total-error 1, :amalgamated-error 1.022399136}
{:generation 5, :program (:integer_mult "(" :integer_quot :string_take :string_iterate (:string_contains true :boolean_and :string_occurencesof_char :boolean_not :string_parse_to_chars :boolean_not :exec_dup (:boolean_and :integer_mult :string_drop :string_length :string_remove_char :string_butlast "(" :boolean_not :boolean_or :string_from_char :integer_quot false :string_replace_char :in1 false 1 :boolean_not :integer_subtract :boolean_eq :integer_quot "(" ")" :string_iterate (:integer_eq :integer_quot) :in1 :string_butlast :integer_quot :string_eq :in1 :string_rest :exec_dup () :integer_mult :integer_mult :integer_subtract))), :runtime (0.003219227999999998 0.003233608000000001 0.0032553079999999997 0.0032465039999999994 0.0032700760000000007 0.04773606399999996 0.0031936320000000005), :total-error 1, :amalgamated-error 1.06715442}
{:generation 6, :program (:integer_mult "(" :string_concat :integer_quot :string_take :string_iterate (:string_contains true :boolean_and :string_occurencesof_char :boolean_not :string_eq :boolean_not :boolean_and :integer_mult :string_drop :string_length :string_remove_char :string_butlast "(" :string_contains :boolean_not :boolean_eq :boolean_or :string_from_char :integer_quot false :string_replace_char :in1 :string_contains false 1 :boolean_not :integer_subtract :boolean_eq :integer_quot ")" :string_iterate (:string_reverse :integer_eq) :in1 :string_butlast :integer_quot :string_eq :in1 :string_rest :exec_dup () :integer_mult :integer_mult :integer_subtract)), :runtime (0.0031558999999999992 0.003252771999999998 0.0032448359999999988 0.0031884 0.003293631999999999 0.003233663999999999 0.0032157359999999994), :total-error 1, :amalgamated-error 1.02258494}
{:generation 7, :program (:integer_mult "(" :string_take :string_iterate (:string_contains true :boolean_and :string_take :string_drop :boolean_not :string_parse_to_chars :boolean_not :boolean_and :integer_mult :boolean_not :string_drop :string_remove_char :string_butlast :boolean_and "(" :boolean_not :boolean_or :string_from_char :integer_quot false :string_from_char :string_replace_char :in1 1 :string_parse_to_chars :boolean_not :integer_subtract :integer_quot "(" ")" :string_length :integer_eq :integer_quot) :string_contains_char :in1 :string_butlast :string_eq :in1 :exec_dup () :integer_mult :integer_mult :integer_quot :integer_subtract 1), :runtime (0.003219564 0.0032347440000000016 0.0032419159999999983 0.0032236639999999998 0.0032269800000000004 0.0032241680000000008 0.003204303999999999), :total-error 1, :amalgamated-error 1.02257534}
{:generation 8, :program (:integer_mult "(" :string_take :string_iterate (:string_contains :boolean_and :string_take :string_drop :boolean_not :string_parse_to_chars :boolean_not :boolean_and :string_contains_char :integer_mult :integer_subtract :string_drop :string_remove_char :string_butlast :boolean_and :exec_if (:string_nth "(" :boolean_not :boolean_or :string_from_char :integer_quot false :string_from_char :string_replace_char :in1 1 :string_parse_to_chars :boolean_not :integer_subtract :integer_quot "(" ")" :string_length false :integer_quot) (:string_contains_char :in1 :string_butlast :string_eq :in1 :exec_dup () :integer_mult :integer_mult :integer_quot :integer_subtract :integer_subtract 1))), :runtime (0.00316962 0.0032046680000000034 0.003338204 0.0032482960000000008 0.0032484120000000004 0.0032888639999999985 0.0032802839999999988), :total-error 1, :amalgamated-error 1.022778348}
{:generation 9, :program (:string_butlast :integer_add :exec_dup (:string_occurencesof_char :string_indexof_char :string_replace_char :exec_dup (:string_remove_char :string_indexof_char :integer_mult true) :string_remove_char ")" :string_length :in1 :string_butlast :string_eq :integer_quot :string_rest :boolean_eq false 0 :exec_if (:string_butlast :integer_eq :string_contains_char :string_contains_char) (:integer_subtract :integer_subtract :string_contains :string_remove_char :string_from_char :boolean_and :string_indexof_char "(" :boolean_and :boolean_and))), :runtime (0.003195916000000001 0.0032081920000000003 0.003190964000000002 0.0032113640000000017 0.0032002999999999992 0.003133455999999996 0.003215196), :total-error 1, :amalgamated-error 1.022355388}
{:generation 10, :program (:integer_mult "(" :string_take :string_iterate (:string_contains :boolean_and :string_replace_char :boolean_eq :string_from_char :string_drop :integer_subtract :string_eq :string_length :boolean_and :string_nth "(" :exec_dup (:boolean_or :string_from_char :integer_quot false "(" :string_from_char 1 :string_parse_to_chars :boolean_not :integer_subtract :integer_quot "(" 1 :integer_eq true :integer_quot) :string_contains_char :in1 :string_butlast :string_eq :in1 :exec_dup (:integer_mult :integer_subtract :integer_subtract))), :runtime (0.0032588000000000005 0.0032273999999999996 0.001954979999999999 0.003203292000000001 0.0032704480000000018 0.0032226679999999984 0.003245083999999999), :total-error 1, :amalgamated-error 1.021382672}
