{:generation 0, :program (:string_drop :integer_add :string_rest :string_butlast :string_contains :string_take :string_remove_char :string_concat :string_drop "abcdefghijklmnopqrstuvwxyz" 2 :string_parse_to_chars :boolean_eq :string_indexof_char :integer_add :string_drop :string_contains :in2 :string_take :string_contains :boolean_or :string_occurencesof_char :integer_subtract :string_eq :integer_add 1 :integer_add :string_iterate (:string_drop :in2 :string_contains :boolean_not :string_take :exec_dup ("abcdefghijklmnopqrstuvwxyz" :in2 :string_butlast :integer_subtract :integer_add :in2 "abcdefghijklmnopqrstuvwxyz" :integer_mult :string_iterate (:string_reverse :string_butlast :string_iterate (:string_nth :string_rest :string_rest 0) :string_from_char :string_rest :string_length :integer_quot :string_from_char :string_contains :string_parse_to_chars true :string_parse_to_chars :string_drop :string_contains_char :integer_subtract :boolean_not "abcdefghijklmnopqrstuvwxyz" "abcdefghijklmnopqrstuvwxyz" :string_iterate (:boolean_not "abcdefghijklmnopqrstuvwxyz" true :boolean_and :boolean_not :integer_mult false :string_remove_char "abcdefghijklmnopqrstuvwxyz" :exec_dup (:boolean_not :exec_if (:string_iterate (:in2 :in1 :string_concat true :string_eq :string_contains :boolean_not :exec_if (:string_rest :integer_subtract :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :exec_if (:integer_subtract :string_nth :exec_if (:string_contains :string_occurencesof_char) ()) ()) ())) ())))))), :runtime (0.00308996 0.0032106919999999976 0.003136652 0.003227491999999999 0.0031940680000000004 0.003156468000000001 0.0031591880000000016), :total-error 2, :amalgamated-error 2.02217452}
{:generation 1, :program (:exec_dup (:string_replace_char :exec_dup (0 :string_drop :string_contains_char :string_iterate (:in2 :integer_add :integer_quot 1 :string_from_char) :string_nth :exec_if (:string_drop false :string_reverse :integer_quot "" :boolean_and :boolean_eq :integer_quot :boolean_or :boolean_or :string_concat :string_butlast :boolean_and :string_eq) (:string_occurencesof_char :integer_eq :integer_mult :string_drop :string_eq :string_contains :string_butlast :string_indexof_char) :string_butlast 1 :integer_mult :string_reverse :string_iterate (:string_concat :string_concat "abcdefghijklmnopqrstuvwxyz" :in2 0 true :integer_quot :string_indexof_char 2 :string_drop :integer_subtract :string_contains :string_indexof_char 2 :integer_quot :integer_subtract :in2 :exec_dup (:string_contains :string_contains_char :in2 :boolean_not :integer_mult "" :boolean_or :string_contains_char :string_concat))))), :runtime (0.0031142319999999998 0.003064727999999999 0.0031335440000000003 0.003133056000000004 0.0030909640000000025 0.003147736 0.0031774960000000006), :total-error 1, :amalgamated-error 1.021861756}
{:generation 2, :program (true :string_reverse 0 :string_remove_char :string_occurencesof_char :string_butlast :string_rest :string_concat true :string_contains :string_parse_to_chars :string_nth 0 :string_occurencesof_char true :string_contains :string_contains :integer_quot :exec_dup (:string_nth :string_drop :string_contains_char :string_length :string_contains :string_iterate (:string_from_char :string_take :string_rest :string_remove_char :boolean_not :string_parse_to_chars :string_indexof_char :string_contains :string_butlast :string_take :string_contains :string_iterate (:in2 :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz")))), :runtime (0.03561484799999997 0.003092384000000001 0.003180567999999999 0.003080716 0.003187280000000002 0.0030561400000000006 0.0037713679999999993), :total-error 1, :amalgamated-error 1.054983304}
{:generation 3, :program (1 :integer_eq :string_replace_char 0 true :exec_dup (:string_indexof_char :string_contains_char :in1 :integer_add :boolean_eq 1 :in2 :string_concat 1 false :string_butlast :string_drop :string_butlast :string_reverse :in1 0 :integer_add :string_iterate (:integer_add :string_reverse :string_contains :string_parse_to_chars :string_from_char :string_eq) :integer_eq :string_nth :exec_if (:exec_if (:string_contains_char :in2 :boolean_or :string_replace_char true "" :string_replace_char :boolean_not :string_nth :boolean_and :string_indexof_char :integer_mult 1 :string_rest 0 :integer_subtract :string_nth :string_reverse) (:string_eq :string_concat :string_iterate ())) ())), :runtime (0.003187051999999998 0.003124551999999998 0.003088344000000001 0.0031778999999999974 0.016095504000000004 0.0031312359999999986 0.0030849559999999985), :total-error 1, :amalgamated-error 1.0348895439999999}
{:generation 4, :program (:integer_quot :integer_add :string_rest :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :boolean_and :string_length :string_remove_char :in2 :exec_dup (:string_parse_to_chars :string_from_char :boolean_eq :string_parse_to_chars) 2 :string_concat :string_concat 1 :string_length false :string_occurencesof_char :string_replace_char :boolean_not true false true true :string_contains :string_indexof_char), :runtime (0.0031742479999999976 0.0031549639999999997 0.00315722 0.003154647999999998 0.0031454480000000025 0.003014035999999998 0.0030721880000000017), :total-error 1, :amalgamated-error 1.021872752}
{:generation 5, :program (:exec_if (:in2 :string_parse_to_chars :string_length :boolean_not :in2 :boolean_or :string_from_char :in1 1 :integer_subtract true 2 :string_concat :boolean_eq :integer_subtract false :string_replace_char :boolean_or 1 :string_remove_char :exec_dup (:string_contains :string_indexof_char)) ()), :runtime (0.0031450399999999987 0.003108672000000002 0.03053569199999999 0.003138983999999999 0.003109983999999999 0.0031359879999999993 0.0031677159999999997), :total-error 1, :amalgamated-error 1.049342076}
{:generation 6, :program (:string_concat :integer_eq :string_from_char :in2 :string_concat :string_occurencesof_char :string_indexof_char true :string_iterate (:boolean_eq :boolean_eq :string_parse_to_chars) :string_reverse false :string_contains_char "abcdefghijklmnopqrstuvwxyz" :string_iterate (:string_from_char :string_parse_to_chars :string_length :boolean_or :string_eq :string_replace_char :integer_quot :string_contains :boolean_not :string_butlast false :exec_if (:string_nth :string_from_char :string_contains :string_drop :string_drop :string_parse_to_chars true :string_from_char :string_butlast :integer_subtract :in2 :integer_quot :boolean_not :integer_quot :string_iterate (:exec_dup (:integer_mult :string_remove_char))) ())), :runtime (0.003144371999999999 0.0031518960000000034 0.0031715199999999993 0.003144768 0.0018816919999999993 0.0018235959999999992 0.0018806720000000012), :total-error 1, :amalgamated-error 1.018198516}
{:generation 7, :program (:integer_quot :integer_add :string_rest :string_parse_to_chars :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :boolean_and :string_reverse :string_length :string_remove_char :in2 :exec_dup (:boolean_eq :string_parse_to_chars) 2 :string_concat 1 :string_length :in2 :string_occurencesof_char :string_rest :boolean_not true false true :string_contains true :string_contains :string_replace_char :string_indexof_char), :runtime (0.003167768000000002 0.003190536000000001 0.003138771999999997 0.003156655999999999 0.0031537599999999985 0.0031869319999999982 0.0031853759999999997), :total-error 1, :amalgamated-error 1.0221798}
{:generation 8, :program (:integer_quot :integer_add :string_drop :string_rest :string_parse_to_chars :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :boolean_and :string_reverse :string_length :string_remove_char :string_length :in2 :exec_dup (:boolean_eq :string_parse_to_chars) 2 :string_concat 1 :string_length :in2 :string_replace_char :string_occurencesof_char :string_rest :boolean_not :integer_add true false true :string_contains :string_contains :string_replace_char :string_indexof_char), :runtime (0.0031444320000000034 0.003140407999999999 0.0031412519999999993 0.003130507999999999 0.0032268119999999995 0.0030876960000000026 0.003133735999999999), :total-error 1, :amalgamated-error 1.022004844}
{:generation 9, :program (:exec_dup (:in1 :string_occurencesof_char :integer_eq :string_reverse :integer_add true :string_take :string_occurencesof_char :boolean_and :integer_mult :string_length :string_nth :string_parse_to_chars :in2 :string_butlast :string_replace_char :string_length :string_from_char :integer_mult :string_length :string_concat :in2 :string_remove_char :in1 :string_iterate (:in2 :string_contains false :string_from_char :integer_quot :in2 :string_drop :string_take :exec_if (:integer_subtract :string_contains :exec_if (:exec_if (:boolean_or "abcdefghijklmnopqrstuvwxyz" :integer_eq :string_from_char :in1 :boolean_or :string_take :in2 :boolean_eq :string_rest 0 :string_iterate (:boolean_or :integer_quot :string_butlast :integer_mult :string_contains "")) ()) ()) ()))), :runtime (0.0031909919999999997 0.0031829440000000005 0.0031497359999999985 0.0032550000000000005 0.003102263999999999 0.0032110040000000017 0.003175676000000001), :total-error 1, :amalgamated-error 1.022267616}
{:generation 10, :program (:integer_subtract :integer_mult :exec_dup (:in1 :boolean_eq :in2 :string_nth :string_indexof_char) :string_from_char :string_iterate (:integer_mult :string_concat :string_nth :exec_if (:integer_mult :string_take :string_contains_char :string_rest :string_length :string_replace_char :string_replace_char :in2 :string_remove_char :string_concat :string_replace_char :string_remove_char :string_contains_char :in2 :integer_mult "" :boolean_or "" :string_from_char :boolean_or :string_length :string_from_char :boolean_or :boolean_and :string_contains :integer_quot true :string_length :string_contains) ())), :runtime (0.0031196600000000015 0.0031386400000000007 0.0031977 0.0031123160000000004 0.0022416679999999987 0.0018102839999999975 0.0018981759999999992), :total-error 1, :amalgamated-error 1.018518444}
