{:generation 0, :program (1 :string_take :string_replace_char false :string_occurencesof_char :string_reverse :integer_add :string_parse_to_chars :in2 true "" :string_take :in2 :string_iterate (:integer_add :string_from_char :string_concat 2 :string_indexof_char :integer_subtract :string_from_char :string_nth :string_nth :string_contains :string_replace_char :string_length :boolean_not :boolean_and 2 :string_contains "abcdefghijklmnopqrstuvwxyz" :boolean_not :string_remove_char :string_replace_char :string_contains :boolean_or :string_contains 2 :string_eq)), :runtime (0.0031701120000000014 0.003194880000000001 0.0030761440000000016 0.003177440000000001 0.003162472000000001 0.003103856 0.0032259880000000025), :total-error 2, :amalgamated-error 2.022110892}
{:generation 1, :program (:integer_mult :string_drop :string_nth :in1 :boolean_or :boolean_and :boolean_or :boolean_not :string_nth :integer_quot :string_concat :in2 :in1 :string_occurencesof_char :string_iterate (:string_rest) :string_take 2 :string_occurencesof_char :string_contains :in2 :exec_if (:string_contains :string_replace_char "abcdefghijklmnopqrstuvwxyz" :integer_subtract :boolean_or :integer_eq :string_iterate (:string_contains_char true :boolean_eq :string_reverse :string_iterate (:string_from_char :string_contains :string_length :string_length :exec_dup (:string_iterate (:integer_add :string_concat :boolean_or :string_length :string_contains_char :in1 false false :string_parse_to_chars :string_length false :string_length "abcdefghijklmnopqrstuvwxyz" :string_contains_char :string_drop "" :string_iterate (:string_take :string_eq :boolean_eq :string_remove_char :string_replace_char :string_butlast :boolean_and :boolean_not 1 :string_nth :string_rest :boolean_not "abcdefghijklmnopqrstuvwxyz" :boolean_eq :string_from_char :boolean_and 0)))))) ()), :runtime (0.0031496399999999996 0.003161327999999999 0.0030970519999999994 0.054047323999999994 0.0031669040000000025 0.003139663999999998 0.003178195999999999), :total-error 1, :amalgamated-error 1.072940108}
{:generation 2, :program (:string_take :in1 :string_contains :integer_subtract :string_take false :string_from_char :in2 :integer_mult false :string_take :integer_quot :string_remove_char :string_iterate (:boolean_not :exec_dup (0 :string_contains :string_indexof_char :string_contains :string_remove_char :in1 :in1 :string_reverse :in1 1 :boolean_eq :string_contains)) :string_rest false :boolean_eq :string_remove_char :integer_add :boolean_eq "abcdefghijklmnopqrstuvwxyz" :string_contains 0 :integer_quot 1 :boolean_and :string_contains_char :boolean_or :integer_quot :exec_dup (:string_occurencesof_char :string_contains :string_take :in1 :boolean_or :string_contains :string_eq false true :string_reverse :string_concat)), :runtime (0.0031301479999999993 0.003208299999999998 0.003208920000000001 0.0031566080000000004 0.0031514240000000003 0.00309522 0.0030192280000000014), :total-error 1, :amalgamated-error 1.021969848}
{:generation 3, :program (:string_contains :string_eq :integer_add true :integer_add 2 2 :string_parse_to_chars true :string_reverse :boolean_not :string_remove_char :integer_quot :integer_add "" :boolean_not :boolean_or :string_concat :integer_subtract :in2 :string_rest :string_parse_to_chars :exec_dup (:boolean_eq false :integer_quot :integer_eq :string_reverse :integer_quot :string_drop "" :exec_dup (:boolean_and :string_iterate ("" :string_replace_char :integer_mult :string_butlast :string_contains "" :exec_dup (:string_contains :string_drop :string_occurencesof_char :string_replace_char :string_concat :string_iterate ()))))), :runtime (0.0031293719999999975 0.0032052360000000024 0.003034972 0.0031639680000000014 0.003172783999999999 0.0032057759999999983 0.003187999999999999), :total-error 1, :amalgamated-error 1.022100108}
{:generation 4, :program (:string_take true :string_contains :in2 :integer_add :boolean_eq :string_parse_to_chars :string_take :boolean_and :string_nth "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :string_concat 2 :string_take :integer_quot :boolean_not :string_reverse "abcdefghijklmnopqrstuvwxyz" :in1 :string_butlast :string_contains :integer_subtract :string_length :string_rest 0 :string_drop "" :string_contains :integer_eq :string_contains :string_remove_char :string_reverse :string_contains :string_contains 1 2), :runtime (0.0032124279999999976 0.003198587999999998 0.0031834320000000004 0.0031974720000000033 0.0031970959999999995 0.003263727999999999 0.003245240000000001), :total-error 1, :amalgamated-error 1.022497984}
{:generation 5, :program (:string_take :string_occurencesof_char :in2 :string_occurencesof_char :string_parse_to_chars :in2 true :string_take :string_replace_char :integer_add :string_concat 2 :string_take :integer_quot :integer_add :exec_if (:string_take :string_nth :string_contains :integer_subtract :string_length :in1 :boolean_not :boolean_and "" :string_contains "" :integer_subtract :boolean_or 1 :boolean_and :string_eq :string_nth) (:string_butlast)), :runtime (0.0031228639999999995 0.003081504000000002 0.003070512000000002 0.0031453799999999984 0.0031315239999999992 0.003185579999999999 0.003228287999999998), :total-error 1, :amalgamated-error 1.021965652}
{:generation 6, :program (:string_contains :string_eq false :exec_dup (:string_from_char "" :integer_add true 2 2 :string_reverse :string_occurencesof_char :string_contains true :string_reverse :boolean_not :string_remove_char :string_butlast :integer_quot :integer_add "" :boolean_not :boolean_and 2 :boolean_or :string_concat :integer_subtract :in2 :string_parse_to_chars :boolean_eq false :integer_quot :integer_quot :string_drop :exec_dup (:boolean_and :exec_dup (:integer_add :string_iterate (:string_length "" :string_occurencesof_char :string_replace_char :string_butlast :string_contains) :exec_dup ("" :string_replace_char :string_contains :integer_quot :string_iterate ()))))), :runtime (0.0031600080000000006 0.0031921280000000007 0.0032222199999999996 0.0032288919999999993 0.0032017959999999985 0.0031522639999999997 0.0031984319999999976), :total-error 1, :amalgamated-error 1.02235574}
{:generation 7, :program (:string_contains :boolean_not :integer_mult :string_eq :integer_add :string_length 0 :string_replace_char true :string_replace_char :integer_add 2 :exec_if (2 :string_parse_to_chars true 1 :string_eq true :boolean_not :integer_add :boolean_not :boolean_or :string_concat :in2 :string_parse_to_chars :string_rest :boolean_eq :integer_quot :string_reverse :integer_quot "" :boolean_and "abcdefghijklmnopqrstuvwxyz" :string_iterate (:string_replace_char :integer_mult :string_butlast :string_contains :string_take 1 :string_drop :string_replace_char :string_concat :string_occurencesof_char)) ()), :runtime (0.0031598999999999993 0.003086535999999998 0.003196572 0.0031439559999999985 0.0031404199999999992 0.0031937799999999994 0.011267288000000002), :total-error 1, :amalgamated-error 1.030188452}
{:generation 8, :program (:string_replace_char :exec_dup (:string_drop :string_drop :boolean_not :string_concat :string_remove_char :string_contains_char false 2 :string_from_char :string_contains 2 :integer_add :string_iterate (:integer_eq :in2 true :string_replace_char "abcdefghijklmnopqrstuvwxyz" :string_contains :string_take :string_remove_char :string_concat "" :integer_subtract :in2 :boolean_or 1 :string_contains_char :boolean_or :string_replace_char :string_drop :string_replace_char :string_reverse :string_concat :string_eq :string_butlast) :string_rest 2 "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_contains))), :runtime (0.003142936000000002 0.0031106600000000008 0.003240912 0.0031944480000000003 0.003165347999999999 0.00309448 0.003116711999999998), :total-error 1, :amalgamated-error 1.022065496}
{:generation 9, :program (:integer_add "abcdefghijklmnopqrstuvwxyz" :integer_quot :string_take :string_contains :string_contains :string_contains :string_rest :string_indexof_char :string_length :string_length :string_remove_char :string_from_char :string_contains 0 :in2 :boolean_or :string_parse_to_chars :integer_add :integer_mult :string_occurencesof_char :string_contains_char :string_length 2 :string_remove_char :string_occurencesof_char :string_contains :in1 :string_drop :string_iterate (:in1 :integer_mult false :string_rest :string_drop :boolean_and :string_parse_to_chars :boolean_and :string_nth :string_contains_char :integer_add true :integer_eq :string_indexof_char :boolean_and true :integer_quot true :integer_quot)), :runtime (0.0032190280000000005 0.041003648000000004 0.003215476 0.0031429559999999997 0.0031697199999999965 0.003189188 0.003135167999999999), :total-error 1, :amalgamated-error 1.060075184}
{:generation 10, :program (:integer_eq :string_replace_char :string_take :string_occurencesof_char :integer_add :string_take :boolean_eq :boolean_not true true :boolean_not :string_take :string_remove_char :boolean_or "" :boolean_or :integer_quot :integer_mult :in2 :string_indexof_char :string_from_char :string_concat :boolean_eq :string_parse_to_chars :string_remove_char :boolean_eq :integer_subtract :string_drop :string_occurencesof_char :exec_dup (:integer_quot :integer_mult :boolean_not 1 :in2 :string_contains :string_parse_to_chars :string_length :in1 :string_rest :boolean_and :string_nth :boolean_eq :boolean_eq :integer_add :integer_mult :integer_quot :string_parse_to_chars :string_reverse :string_contains_char :string_remove_char :integer_quot :integer_add :boolean_not :string_occurencesof_char 2 :string_length :string_eq :integer_mult)), :runtime (0.0031004239999999975 0.010814168000000006 0.0031543600000000015 0.0031276959999999997 0.0030997839999999982 0.0031450159999999983 0.0030869199999999973), :total-error 1, :amalgamated-error 1.029528368}
