{:generation 0, :program (:string_indexof_char :string_contains_char :string_concat :integer_add :string_replace_char true :boolean_or :string_concat :string_contains :integer_quot true :exec_dup (:exec_dup (true :integer_mult :string_butlast :string_replace_char :boolean_not :string_take :in1 :string_iterate (:string_parse_to_chars)))), :runtime (0.0024950960000000005 0.0018786719999999988 0.0018031039999999992 0.001785647999999999 0.001802344), :total-error 2, :amalgamated-error 2.009764864}
{:generation 1, :program (:integer_add :string_from_char :string_replace_char :in2 :integer_add :integer_add :string_occurencesof_char :string_contains :string_nth :in2 :string_rest :string_iterate (:string_remove_char :string_butlast :string_take true :string_indexof_char :string_parse_to_chars :boolean_or 1 :string_length :integer_subtract :string_contains :in1 :in1 :string_butlast :boolean_and :integer_mult :string_concat :string_from_char 0 :boolean_and 0 :string_indexof_char :boolean_and :string_rest :string_eq :string_rest "abcdefghijklmnopqrstuvwxyz" :boolean_and :integer_eq :string_contains_char "" :string_concat :integer_eq :string_parse_to_chars :in2 :string_rest :string_rest :string_iterate (true :string_take 1 :integer_quot :boolean_eq :string_reverse :string_rest :string_take :string_contains :string_contains :string_eq :boolean_not :string_contains :string_contains :string_drop :string_concat :string_remove_char :string_from_char :boolean_not :string_take :string_from_char :string_drop :string_butlast :string_drop :string_drop :string_contains :string_replace_char :integer_add :string_take :integer_eq :string_reverse false :in1))), :runtime (0.0032060640000000007 0.0032235480000000014 0.002562884 0.0029817960000000005 0.0029968880000000014), :total-error 1, :amalgamated-error 1.01497118}
{:generation 2, :program (true :boolean_or :in2 false :exec_dup () 1 :string_remove_char :integer_mult :string_occurencesof_char :string_contains :string_iterate (:string_replace_char :in1 :in2 :string_replace_char :string_butlast :integer_mult :string_replace_char :string_replace_char :string_contains :string_contains_char :integer_subtract :string_contains_char :string_iterate (:integer_add :string_rest 0 "" :string_contains_char :integer_subtract :exec_dup (:string_remove_char :integer_eq)))), :runtime (0.0030840240000000007 0.008953748000000006 0.0030760680000000004 0.0031401079999999995 0.0031071759999999993), :total-error 0, :amalgamated-error 0.021361124000000006}
{:generation 3, :program (:string_reverse :string_occurencesof_char :integer_eq :string_butlast :boolean_eq :in2 :string_take :exec_if (:integer_eq false :string_drop :exec_dup (:string_nth :boolean_or 1 "abcdefghijklmnopqrstuvwxyz" :integer_subtract :string_reverse :string_concat :in2) :in1 :boolean_or :string_rest :boolean_and 1 "abcdefghijklmnopqrstuvwxyz" :string_concat :integer_mult :boolean_eq false "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_nth :integer_subtract :string_indexof_char 0 :string_iterate (:string_length :string_parse_to_chars false :string_take :string_butlast :string_indexof_char :string_concat "abcdefghijklmnopqrstuvwxyz" :string_eq :string_contains_char "abcdefghijklmnopqrstuvwxyz" :integer_mult :string_contains_char :integer_add :string_drop :integer_eq :string_rest :in2 :string_eq :string_parse_to_chars :integer_subtract :boolean_or 1 :boolean_eq :in2 :boolean_eq :integer_quot :string_contains 0 :boolean_eq 2))) ()), :runtime (0.0030331560000000017 0.002968768000000001 0.0017836039999999998 0.003033852000000001 0.0031433159999999997), :total-error 1, :amalgamated-error 1.013962696}
{:generation 4, :program (:exec_dup (:string_butlast :integer_quot :integer_subtract :string_rest :string_contains :string_indexof_char :string_eq :string_iterate (:string_indexof_char 2 :boolean_not true :string_occurencesof_char :string_take :in2 :string_reverse :string_parse_to_chars :boolean_and :exec_dup (:string_contains :string_indexof_char :string_rest 0 :string_take :string_concat 1 :string_indexof_char :string_length :boolean_eq :string_drop :in1 :integer_subtract :boolean_and :string_occurencesof_char :string_occurencesof_char :in1 :in2 :string_concat :integer_mult :in2 :string_iterate (:integer_eq false :string_reverse :string_rest :string_contains :string_iterate (:string_butlast :integer_mult :string_parse_to_chars :string_concat :string_concat :integer_add :string_eq :boolean_or :string_take :string_take)))))), :runtime (0.003047975999999999 0.0030773760000000023 0.0029904600000000016 0.003121739999999997 0.0030324439999999974), :total-error 1, :amalgamated-error 1.015269996}
{:generation 5, :program (:integer_add :boolean_or :string_eq :string_eq :string_nth false :exec_dup (0 :string_iterate (1 :string_eq :string_from_char :boolean_and :exec_dup (1) :string_concat :boolean_not :in2 :string_rest :string_rest :string_from_char :boolean_and :integer_quot :in1 :string_indexof_char :string_contains_char :string_iterate (true :in1 :string_occurencesof_char 0 "abcdefghijklmnopqrstuvwxyz" :string_indexof_char :string_drop :string_nth :integer_add false :boolean_and :string_contains 2 "" :string_contains_char :string_replace_char) :string_rest "" :boolean_eq :boolean_and :string_concat :integer_mult :string_concat :string_occurencesof_char ""))), :runtime (0.0030726639999999993 0.0029757240000000003 0.0030859520000000007 0.003051764 0.0029757280000000004), :total-error 1, :amalgamated-error 1.015161832}
{:generation 6, :program (true :boolean_or :in2 "abcdefghijklmnopqrstuvwxyz" 1 :string_iterate (:string_parse_to_chars :string_contains_char :integer_mult 2 :string_occurencesof_char) :string_replace_char 0 :in2 :integer_mult :string_replace_char :string_contains_char :integer_subtract :string_length :string_contains_char :string_parse_to_chars :string_iterate (:integer_add :string_rest "" :in2 :string_contains_char :string_drop :boolean_and :exec_dup (:string_remove_char))), :runtime (0.0032632760000000016 0.0019095599999999983 0.0018351599999999997 0.0017842520000000003 0.0017693119999999994), :total-error 1, :amalgamated-error 1.01056156}
{:generation 7, :program (true 0 :in2 :string_reverse false :string_contains_char :boolean_and :string_remove_char true :boolean_or "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :string_length :string_parse_to_chars :exec_dup (:integer_mult :boolean_not :string_remove_char :in2 :string_indexof_char :string_butlast :string_contains_char :string_replace_char :string_take :string_take 0 :string_contains_char :integer_add :integer_eq :integer_mult false :string_contains_char :string_from_char :exec_dup () false :boolean_or :string_contains :string_contains :boolean_or "" :integer_add :string_take :string_length 0 :string_length :integer_subtract :string_nth :boolean_and :string_concat)), :runtime (0.00301824 0.0030310040000000016 0.0030899839999999974 0.0030099280000000003 0.0030006519999999986), :total-error 1, :amalgamated-error 1.015149808}
{:generation 8, :program (:integer_add :string_replace_char :integer_quot :in2 :string_take :string_from_char "abcdefghijklmnopqrstuvwxyz" :string_butlast :integer_subtract :string_occurencesof_char :string_nth :in1 :boolean_or :string_butlast :integer_mult :string_butlast :boolean_or 1 :string_remove_char 2 :string_indexof_char :boolean_or :integer_mult :string_iterate (:string_indexof_char :string_replace_char :string_parse_to_chars 1 :string_reverse :string_drop :boolean_or :string_from_char :exec_dup (:string_parse_to_chars :string_reverse false :string_length :integer_eq :string_eq :in2 :boolean_or :boolean_and :integer_eq false :string_occurencesof_char 2 :integer_eq :string_parse_to_chars :boolean_not :integer_eq :string_nth :string_parse_to_chars :string_contains_char :string_take 1 "" :integer_quot :string_contains :boolean_eq :string_contains :string_from_char :string_butlast 0 :integer_add :string_contains :integer_add :in1 :string_take false))), :runtime (0.0029462240000000003 0.0029979159999999976 0.0030583199999999994 0.0030062599999999997 0.0030692400000000017), :total-error 1, :amalgamated-error 1.01507796}
{:generation 9, :program (:exec_dup (:in1 :string_butlast :exec_dup (1 :integer_subtract :string_from_char 1 :string_contains :string_reverse :string_replace_char :string_contains :integer_eq :boolean_or :string_butlast :exec_if (:string_from_char :exec_if (:integer_quot true :boolean_not :string_eq :exec_dup (:boolean_or :string_concat :string_parse_to_chars :string_take :string_drop :string_occurencesof_char :integer_add :string_contains "" "" :in2 :boolean_not false :string_replace_char :string_contains :string_parse_to_chars :string_eq 1 :integer_mult :boolean_or :string_eq "abcdefghijklmnopqrstuvwxyz" :string_contains :integer_quot :string_contains :string_eq :string_contains_char :string_butlast true :string_concat "abcdefghijklmnopqrstuvwxyz" :exec_dup (:string_drop 1 :string_contains :string_indexof_char :string_indexof_char :in1 1 :string_occurencesof_char :in2 :string_eq :string_concat :boolean_or :in1 :string_parse_to_chars "" 2 2 :string_contains_char :string_contains 0))) ()) ()))), :runtime (0.0030653760000000016 0.0018299040000000007 0.0017688920000000006 0.0018238720000000013 0.0017721640000000001), :total-error 1, :amalgamated-error 1.010260208}
{:generation 10, :program (:string_nth :boolean_or :integer_add :integer_mult :string_take false 1 :integer_mult :string_occurencesof_char :string_nth :integer_mult :string_eq :boolean_eq "abcdefghijklmnopqrstuvwxyz" :string_reverse :string_occurencesof_char :boolean_and :boolean_and :boolean_not :string_indexof_char :string_replace_char :string_parse_to_chars :string_concat 1 :string_reverse :string_contains :integer_quot :string_rest :integer_mult false :string_length :integer_eq :in1 :integer_quot :string_iterate (:string_nth :in2 :integer_eq :integer_eq :in2 :string_contains_char :in1 1 :string_contains :string_contains :exec_if (:string_from_char :string_butlast :integer_mult :string_drop :in1 :string_contains :in1) ())), :runtime (0.0030965159999999992 0.003027784000000001 0.0030573960000000004 0.0018795680000000005 0.0018438119999999991), :total-error 1, :amalgamated-error 1.012905076}
