{:generation 0, :program (:string_parse_to_chars :string_butlast :string_concat :string_reverse :string_replace_char :boolean_not :string_nth :string_rest :string_indexof_char true :string_remove_char :in1 "" :string_occurencesof_char :exec_dup (:string_iterate (:integer_subtract :boolean_or :string_concat :string_drop :boolean_or :string_iterate (:string_contains_char :boolean_not :string_butlast :string_take :boolean_eq "G")))), :runtime (0.0031817599999999996 0.0031043079999999996 0.0031982760000000003 0.003253908000000002 0.031317096 0.0032623960000000016 0.0031380920000000003), :total-error 2, :amalgamated-error 2.050455836}
{:generation 1, :program (:string_indexof_char :string_concat :in1 :integer_subtract :string_concat :string_drop :integer_eq "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :in1 true "A" :boolean_or :string_butlast :integer_subtract :integer_eq "ABCDEFGHIJKLMNOPQRSTUVWXYZ" "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_contains :string_nth :string_drop :string_remove_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_take "T" :string_occurencesof_char :integer_mult :string_concat :integer_eq :string_contains :string_indexof_char :string_eq :string_replace_char :string_replace_char :integer_eq :string_occurencesof_char :string_iterate (:boolean_or :boolean_not :boolean_or :string_length "G" false "T" :string_remove_char :exec_dup (:string_remove_char :string_contains_char :in1 :string_drop :string_contains :string_contains_char "G" :string_drop :string_drop "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :exec_dup (:integer_mult 1 :string_nth :string_contains_char) :string_contains_char "G" "T" 0 :string_take :integer_subtract :string_length :string_concat "T" :string_contains :string_contains "T" :integer_quot :string_reverse :string_eq :string_eq :string_replace_char "" :string_iterate (true :string_drop :string_indexof_char :string_take :integer_quot :integer_eq :boolean_eq :integer_add :string_contains)))), :runtime (0.003230452000000001 0.0031563279999999995 0.003235415999999999 0.0032079760000000013 0.0032204240000000012 0.0032843239999999995 0.0033261239999999997), :total-error 0, :amalgamated-error 0.022661043999999998}
{:generation 2, :program (:string_butlast "T" :string_parse_to_chars :string_nth :exec_dup (:string_remove_char :in1 :string_contains :integer_add :string_from_char :string_nth :string_rest :string_contains :integer_add :exec_dup (:string_take false :exec_if (:boolean_and :integer_eq 0 :string_butlast :integer_mult :string_iterate (:integer_mult :string_concat :integer_add :in1 :boolean_not :integer_add :string_butlast false :string_reverse :string_concat "" :string_contains :string_contains :boolean_not :string_occurencesof_char "G" 0 0 true :in1 :string_contains_char :string_remove_char :string_nth :in1 :string_eq :string_replace_char :integer_eq :in1 :string_eq :string_take :string_parse_to_chars "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_contains "A" :boolean_not "A")) ()))), :runtime (0.003208907999999999 0.0032292880000000007 0.003209884000000001 0.003239232 0.0032059519999999967 0.003224111999999998 0.0031250640000000007), :total-error 0, :amalgamated-error 0.022442439999999998}
{:generation 3, :program (:string_butlast "T" :string_nth "T" :string_remove_char :in1 :string_contains :string_butlast :boolean_eq 0 :string_eq :string_iterate (:string_butlast :integer_eq :integer_add :integer_quot :string_nth :string_rest :integer_add :exec_dup (:exec_dup (:boolean_not :boolean_and :integer_eq :string_butlast :integer_mult false :string_concat :integer_eq :integer_add :in1 :integer_add :integer_mult :integer_add :integer_mult :string_rest false :exec_dup (:string_reverse :integer_eq "" :string_contains :boolean_not :boolean_eq :string_occurencesof_char "G" :in1 :string_contains_char :string_remove_char :string_iterate (:in1 :string_eq :string_from_char :string_take :string_parse_to_chars :string_take "G" :string_parse_to_chars "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_reverse :string_contains :string_length "A" :boolean_not "A")))))), :runtime (0.0031799679999999987 0.0032315439999999985 0.003259204000000002 0.03809550799999999 0.003194624000000001 0.0031548239999999988 0.0032418119999999967), :total-error 0, :amalgamated-error 0.05735748399999999}
{:generation 4, :program ("T" :string_nth "T" :string_remove_char :in1 :string_contains :string_butlast :boolean_eq :boolean_eq 0 :string_eq :string_iterate (:string_butlast :string_indexof_char :integer_eq :integer_add :integer_quot :string_concat :string_rest :integer_add :exec_dup (:exec_dup (:boolean_not :boolean_and :integer_eq :string_butlast "" :integer_mult false :string_concat :integer_eq :integer_add :in1 :integer_mult :integer_add :integer_mult :string_rest false :exec_dup (:integer_eq "" :string_butlast :string_contains :boolean_not :boolean_eq :string_occurencesof_char :in1 :string_contains_char :integer_subtract :string_remove_char :string_iterate (:in1 :string_eq :string_from_char :string_take :integer_add :string_parse_to_chars :string_take :boolean_not "G" :string_parse_to_chars "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_reverse :string_contains :string_length "A" "A" :string_concat)))))), :runtime (0.003194567999999999 0.00325374 0.003174324 0.010059251999999994 0.0032143799999999985 0.0032554360000000004 0.003264472000000001), :total-error 0, :amalgamated-error 0.029416171999999994}
{:generation 5, :program ("T" :string_nth "T" :string_remove_char :in1 :string_contains :string_butlast :boolean_eq :boolean_eq 0 :string_iterate (:string_butlast :string_indexof_char :integer_eq :integer_add :integer_quot :string_concat :string_rest :integer_add :exec_dup (:exec_dup (:boolean_not :boolean_and :integer_eq :string_butlast :string_contains_char "" :integer_mult false :string_concat :integer_eq :integer_add :in1 :integer_mult :integer_add :integer_mult :string_rest false :exec_dup (:integer_eq "" :string_butlast :string_contains :boolean_not :boolean_eq :string_occurencesof_char :in1 :string_contains_char :integer_subtract :string_remove_char :string_iterate (:in1 :string_eq :string_take :integer_add :string_parse_to_chars :string_take :boolean_not "G" :string_parse_to_chars "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_reverse :string_contains :string_parse_to_chars :string_length "A" "A" :string_concat)))))), :runtime (0.003165403999999998 0.003230504000000003 0.0031919119999999977 0.003211547999999998 0.003177412 0.003181564000000002 0.051564919999999986), :total-error 0, :amalgamated-error 0.07072326399999998}
{:generation 6, :program (:boolean_not :boolean_not :string_length :string_reverse "T" :string_rest true false "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_butlast :string_length :string_remove_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :integer_eq :boolean_or :in1 :integer_subtract :string_iterate (:string_drop :string_from_char :string_concat :string_nth :string_eq :integer_eq :in1 0 :boolean_or true :string_rest :string_occurencesof_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_rest 0 :string_contains :string_length :string_rest "C" "T" :string_parse_to_chars :string_iterate (:integer_eq false :string_replace_char :string_length :integer_quot :string_rest :exec_dup (:in1 :string_contains_char 1)))), :runtime (0.0031242800000000014 0.0033673 0.003350228000000001 0.0032634079999999998 0.003175795999999998 0.003372591999999998 0.0032011719999999995), :total-error 0, :amalgamated-error 0.022854775999999997}
{:generation 7, :program (:boolean_not :boolean_not :string_length :string_reverse "T" :string_rest true false "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_length :string_remove_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :integer_eq :boolean_or "" :in1 :integer_subtract :string_iterate (:string_drop :string_from_char :string_concat :integer_quot :string_nth :string_eq :string_eq :integer_eq :in1 0 :boolean_or true :string_rest :string_occurencesof_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_rest 0 :string_contains :string_length :exec_if (:string_rest "C" "T" :string_parse_to_chars :string_iterate (:integer_subtract :integer_eq false :string_replace_char :string_length :integer_quot :string_rest :exec_dup (:in1 :string_contains_char 1 :string_occurencesof_char))) ())), :runtime (0.0031820200000000007 0.0032570800000000007 0.0032588480000000004 0.003311099999999998 0.003223828000000001 0.0032835919999999984 0.008931716), :total-error 0, :amalgamated-error 0.028448183999999998}
{:generation 8, :program (false :string_replace_char :string_remove_char true :in1 :in1 :string_butlast "T" :string_contains_char :string_replace_char :string_iterate ("" :string_contains :integer_add :string_indexof_char :boolean_eq :boolean_eq :integer_add :boolean_and false :boolean_and 1 :string_nth :string_take :string_nth :string_remove_char :string_parse_to_chars :string_take :string_concat :integer_add :exec_dup (false :string_replace_char "G" 0 :string_iterate (:string_contains_char :string_contains :integer_mult :string_length :string_eq :string_parse_to_chars :boolean_not "G" :string_parse_to_chars :string_contains :string_contains_char :in1 :string_contains_char :string_remove_char :exec_dup (1 ""))))), :runtime (0.0031871600000000014 0.0032551039999999974 0.0032574080000000037 0.0032060439999999986 0.0032181439999999996 0.0032673600000000013 0.0033215760000000006), :total-error 0, :amalgamated-error 0.022712796}
{:generation 9, :program (:boolean_not :boolean_not :boolean_eq :string_contains :string_reverse :integer_subtract :string_reverse true false "T" :integer_add :string_remove_char "ABCDEFGHIJKLMNOPQRSTUVWXYZ" :boolean_and :integer_add :boolean_not :string_reverse :integer_subtract :string_occurencesof_char :integer_subtract :string_concat :integer_quot :string_nth :string_eq :string_reverse :integer_eq :in1 0 :boolean_or :string_length :string_length :string_rest :string_occurencesof_char :string_remove_char :string_eq :string_from_char :string_contains :string_take :string_length :exec_if (:string_rest "C" "T" :string_parse_to_chars :string_iterate (:integer_subtract :integer_eq :string_rest :string_replace_char :integer_quot :in1 :string_contains_char)) ()), :runtime (0.0031326600000000024 0.0032497360000000005 0.0032807240000000014 0.0033016720000000003 0.0032757280000000008 0.0032625479999999984 0.0032776879999999995), :total-error 0, :amalgamated-error 0.022780756000000003}
{:generation 10, :program (:integer_mult :string_butlast :exec_dup (:boolean_not 0 :boolean_and :string_reverse :string_length :string_eq :string_contains_char :string_indexof_char :boolean_and :string_drop :integer_add :boolean_and :integer_subtract false "" :boolean_or :string_take :boolean_and 1 "ABCDEFGHIJKLMNOPQRSTUVWXYZ" "T" :integer_mult 1 :integer_eq :string_contains :exec_dup (:string_contains :string_nth :string_parse_to_chars :string_length :in1 :string_remove_char :in1 :string_take :boolean_eq :string_parse_to_chars :boolean_not :string_length 1 :string_nth :string_from_char :integer_add "A" :string_contains "C" :string_nth :integer_subtract))), :runtime (0.0032758800000000023 0.003331943999999999 0.0033539359999999983 0.003187848 0.003290103999999999 0.003197611999999999 0.0031739039999999982), :total-error 1, :amalgamated-error 1.022811228}
{:generation 11, :program (:string_nth false :string_replace_char "G" "G" :string_remove_char :string_concat "G" :string_contains_char :string_reverse :string_eq :string_iterate ("ABCDEFGHIJKLMNOPQRSTUVWXYZ" :string_butlast :string_eq 1 0 :string_contains :boolean_or :exec_dup (1 :boolean_and :string_butlast :boolean_not :string_nth :string_drop :string_remove_char :string_remove_char :string_take :string_parse_to_chars :string_occurencesof_char :in1 :string_remove_char :string_reverse "T" :string_indexof_char :boolean_and :string_replace_char :in1 "T" 1 :string_eq "T" :boolean_not :string_replace_char :string_nth :string_contains :string_contains_char :in1 1))), :runtime (0.003194351999999999 0.0032398279999999967 0.003116268 0.0031898959999999994 0.00327584 0.003260227999999999 0.0032465839999999994), :total-error 0, :amalgamated-error 0.022522995999999997}
